T,seed,estimator,measure,numpy_val,jidt_val
200,0,kraskov,MI_DCE5,0.012123042350593138,0.016579121224020277
200,0,kraskov,TE_DCE5,0.002525182626498479,-0.0014210396247893442
200,0,kernel,TE_DCE5,0.029858129954875228,0.021508367446994876
200,0,gaussian,TE_k2,0.06052803796556544,0.060528037965565926
200,0,kraskov,TE_k2,0.039245666567691684,0.05684884508429966
200,0,gaussian,TE_autoembed,0.07133463600015277,0.0956754010181643
200,0,kraskov,TE_autoembed,0.039245666567691684,0.05684884508429966
200,0,symbolic,TE_k10,0.0,
200,1,kraskov,MI_DCE5,0.07341736029681911,0.06553293568601948
200,1,kraskov,TE_DCE5,0.0990962257304111,0.0805867583355695
200,1,kernel,TE_DCE5,0.06150614896147191,0.05973423798700435
200,1,gaussian,TE_k2,0.09082524066128272,0.09082524066128317
200,1,kraskov,TE_k2,0.04613154999859548,0.07310881032003813
200,1,gaussian,TE_autoembed,0.07947002005981252,0.11427863794236197
200,1,kraskov,TE_autoembed,0.057840897215785336,0.055512078777308016
200,1,symbolic,TE_k10,0.0,
200,2,kraskov,MI_DCE5,0.01642184733103136,0.01187655870488058
200,2,kraskov,TE_DCE5,0.14867357312938023,0.1470914010604889
200,2,kernel,TE_DCE5,0.2323482647824475,0.19923884806334846
200,2,gaussian,TE_k2,0.09076290721447722,0.09076290721447734
200,2,kraskov,TE_k2,0.132411676293263,0.12322760259239529
200,2,gaussian,TE_autoembed,0.09627820092555028,0.10044176169395444
200,2,kraskov,TE_autoembed,0.1290142667669587,0.1275991271615038
200,2,symbolic,TE_k10,0.0,
200,3,kraskov,MI_DCE5,0.05885928711808042,0.036758827293238205
200,3,kraskov,TE_DCE5,0.1390517631194419,0.12101238752954013
200,3,kernel,TE_DCE5,0.13901475667988117,0.11474363955965429
200,3,gaussian,TE_k2,0.1150990516063033,0.11509905160630356
200,3,kraskov,TE_k2,0.11561699970705885,0.11075062362901344
200,3,gaussian,TE_autoembed,0.11016733211468788,0.11016733211468777
200,3,kraskov,TE_autoembed,0.14134454486454762,0.11488079069239698
200,3,symbolic,TE_k10,0.0,
200,4,kraskov,MI_DCE5,0.07794122035077322,0.05186287242881704
200,4,kraskov,TE_DCE5,0.10228476431834466,0.10923828437539829
200,4,kernel,TE_DCE5,0.2119603783299305,0.19089251914511784
200,4,gaussian,TE_k2,0.07327662867065687,0.07327662867065697
200,4,kraskov,TE_k2,0.07969864654540348,0.07622384156832274
200,4,gaussian,TE_autoembed,0.08058651384166593,0.10356317066015026
200,4,kraskov,TE_autoembed,0.050633922894058214,0.0552419500110497
200,4,symbolic,TE_k10,0.0,
200,5,kraskov,MI_DCE5,0.0981737798614386,0.10062485910604568
200,5,kraskov,TE_DCE5,0.14255249578569473,0.14254079413671716
200,5,kernel,TE_DCE5,0.19338685787521684,0.17340197900275206
200,5,gaussian,TE_k2,0.1348863435200408,0.13488634352003992
200,5,kraskov,TE_k2,0.11211645896058964,0.11442250918496777
200,5,gaussian,TE_autoembed,0.12892676157005067,0.14026473701864792
200,5,kraskov,TE_autoembed,0.11211645896058964,0.14439128711371607
200,5,symbolic,TE_k10,0.0,
200,6,kraskov,MI_DCE5,0.1251257526423002,0.1258103413264866
200,6,kraskov,TE_DCE5,0.15197062275625428,0.15853194149178962
200,6,kernel,TE_DCE5,0.22581718038739085,0.20026052608283476
200,6,gaussian,TE_k2,0.13129298577269494,0.13129298577269438
200,6,kraskov,TE_k2,0.13167325860809487,0.12724063253992224
200,6,gaussian,TE_autoembed,0.13129298577269494,0.15981263740883814
200,6,kraskov,TE_autoembed,0.1422731240053816,0.09767495595888298
200,6,symbolic,TE_k10,0.0,
200,7,kraskov,MI_DCE5,0.10162588473019696,0.0973744025259018
200,7,kraskov,TE_DCE5,0.07260396864275576,0.06869764079321805
200,7,kernel,TE_DCE5,0.1289685437465441,0.12349788745297469
200,7,gaussian,TE_k2,0.08866033894321507,0.08866033894321536
200,7,kraskov,TE_k2,-0.015552313582313904,-0.016018804737487846
200,7,gaussian,TE_autoembed,0.09350007967486551,0.10290748078640682
200,7,kraskov,TE_autoembed,0.03701125900781088,0.06605734570704436
200,7,symbolic,TE_k10,0.0,
200,8,kraskov,MI_DCE5,0.08829598856679066,0.08778271397918669
200,8,kraskov,TE_DCE5,0.10973315390321225,0.08409496785723025
200,8,kernel,TE_DCE5,0.21564061969545273,0.19307818233852414
200,8,gaussian,TE_k2,0.07855715080601144,0.07855715080601047
200,8,kraskov,TE_k2,0.05347406561275725,0.06873792820572788
200,8,gaussian,TE_autoembed,0.07875194348815207,0.09466793737777388
200,8,kraskov,TE_autoembed,0.08063820767857588,0.06525634319803508
200,8,symbolic,TE_k10,0.0,
200,9,kraskov,MI_DCE5,0.03585810915393495,0.03883325105838953
200,9,kraskov,TE_DCE5,0.14691384184278156,0.15375914041709282
200,9,kernel,TE_DCE5,0.14589327187876883,0.1283426209054717
200,9,gaussian,TE_k2,0.08823059605685549,0.08823059605685549
200,9,kraskov,TE_k2,0.0714775048329741,0.08098882298429255
200,9,gaussian,TE_autoembed,0.08823059605685549,0.11231119785062978
200,9,kraskov,TE_autoembed,0.06720148579322283,0.06490265557399266
200,9,symbolic,TE_k10,0.0,
800,0,kraskov,MI_DCE5,0.030184896729290145,0.02356111041005793
800,0,kraskov,TE_DCE5,0.06732628860179468,0.05579211260104433
800,0,kernel,TE_DCE5,0.04377672236752909,0.04305982583746566
800,0,gaussian,TE_k2,0.08423664807158482,0.0842366480715845
800,0,kraskov,TE_k2,0.07023660273961774,0.06424309775947656
800,0,gaussian,TE_autoembed,0.08514451448200733,0.08642766165553084
800,0,kraskov,TE_autoembed,0.05412237822756705,0.04869755683753607
800,0,symbolic,TE_k10,0.002531645569622043,
800,1,kraskov,MI_DCE5,0.0789710236818566,0.07194870653676855
800,1,kraskov,TE_DCE5,0.07679970139988468,0.08085723240144671
800,1,kernel,TE_DCE5,0.10151173930571053,0.09790897089720102
800,1,gaussian,TE_k2,0.08167107595223211,0.08167107595223241
800,1,kraskov,TE_k2,0.08858008161339681,0.0955897877676184
800,1,gaussian,TE_autoembed,0.08188034946555822,0.08323212572544132
800,1,kraskov,TE_autoembed,0.06016424980771573,0.09030209201796113
800,1,symbolic,TE_k10,0.0,
800,2,kraskov,MI_DCE5,0.059519559953860934,0.055202488366490776
800,2,kraskov,TE_DCE5,0.12688016724199103,0.12261480504368749
800,2,kernel,TE_DCE5,0.15958402625859489,0.15607843422584683
800,2,gaussian,TE_k2,0.11490408425443116,0.1149040842544315
800,2,kraskov,TE_k2,0.116143790067464,0.11798146570159895
800,2,gaussian,TE_autoembed,0.11725843655695689,0.11814424468277164
800,2,kraskov,TE_autoembed,0.11678804257643893,0.13736549231248807
800,2,symbolic,TE_k10,0.0,
800,3,kraskov,MI_DCE5,0.057099747547545654,0.06183060982303612
800,3,kraskov,TE_DCE5,0.0706201244327942,0.06288640887215546
800,3,kernel,TE_DCE5,0.0881541012583716,0.08597772407247974
800,3,gaussian,TE_k2,0.07355124410465225,0.07355124410465283
800,3,kraskov,TE_k2,0.06388552536731495,0.05785939914751603
800,3,gaussian,TE_autoembed,0.07122992994636235,0.07241262610561931
800,3,kraskov,TE_autoembed,0.0585382451558869,0.03054295390709627
800,3,symbolic,TE_k10,0.0025316455696202667,
800,4,kraskov,MI_DCE5,-0.000551455091503783,-0.004581152712071379
800,4,kraskov,TE_DCE5,0.10260963461487749,0.10626979668109282
800,4,kernel,TE_DCE5,0.10367663477673905,0.10167885471491249
800,4,gaussian,TE_k2,0.08471202960461988,0.0847120296046201
800,4,kraskov,TE_k2,0.09562732324053402,0.09413165690822578
800,4,gaussian,TE_autoembed,0.08644216526739124,0.08891757687066841
