estimator,measure,T,jidt_mean,numpy_mean,abs_err_mean,abs_err_std,rel_err_mean
gaussian,TE_autoembed,200,0.11340902938716153,0.0958539069504488,0.017555122436712745,0.01121093284026521,0.15555575355415144
gaussian,TE_autoembed,800,0.09331004491234543,0.09047553073496717,0.0028345141773782516,0.0027018226763512675,0.031089880124099117
gaussian,TE_autoembed,1600,0.08956028869696694,0.08766100534455452,0.0019295823710187981,0.0013963905621993125,0.021423118935134468
gaussian,TE_k2,200,0.09521192812171025,0.09521192812171034,4.1217029789208936e-16,3.2566344927406916e-16,4.4372812877848675e-15
gaussian,TE_k2,800,0.09054560801013396,0.09054560801013396,4.010680676458378e-16,2.2314535341577643e-16,4.406899213561013e-15
gaussian,TE_k2,1600,0.08806295496372643,0.08806295496372622,4.538036613155328e-16,2.7163699308782647e-16,5.108196908007621e-15
kernel,TE_DCE5,200,0.14046988079846773,0.15843941522919797,0.01796953443073025,0.009846300999671181,0.14467137286173357
kernel,TE_DCE5,800,0.10083773907339424,0.10308478681585125,0.0022470477424569916,0.0012136426798767593,0.02171982522699429
kernel,TE_DCE5,1600,0.10963708670577484,0.11116563356464926,0.0015285468588744188,0.00040153046271749923,0.013950337120971915
kraskov,MI_DCE5,200,0.06330358833329859,0.06878422724019587,0.007594016648232315,0.00899485394578223,0.2031782760752948
kraskov,MI_DCE5,800,0.050706463421511305,0.05574327724850185,0.005982986282088642,0.002385273665628065,0.2035246481371283
kraskov,MI_DCE5,1600,0.034568736980732775,0.03325981292938103,0.00227713921987327,0.0016697994907919147,0.12332913419169396
kraskov,TE_DCE5,200,0.10641322763722554,0.11154055918547749,0.009199359021632002,0.008502613353599107,0.36778859926314206
kraskov,TE_DCE5,800,0.09056812002617413,0.09112584758874769,0.006345944840144724,0.003940623037495562,0.08248124992533154
kraskov,TE_DCE5,1600,0.09290747124757666,0.09369321570375284,0.002323810857808639,0.0019253285436381768,0.024666709509205964
kraskov,TE_autoembed,200,0.08483653792782293,0.08573198337546224,0.017601869544831183,0.015117416911201801,0.2067430120337758
kraskov,TE_autoembed,800,0.07516648891450521,0.07919037964284462,0.016013170490243776,0.011617731356697051,0.24315676501983324
kraskov,TE_autoembed,1600,0.08287166914371955,0.08473609997914207,0.013763411351624889,0.011644271059319219,0.17630010555879605
kraskov,TE_k2,200,0.08155308113714918,0.07662935135441144,0.009408604178605829,0.008307717748338264,0.12663170224482406
kraskov,TE_k2,800,0.09380858663480889,0.09427760931552838,0.004026513159828493,0.002494585756816846,0.04772447710562359
kraskov,TE_k2,1600,0.08680105729924918,0.0853754099262994,0.0030662800375875765,0.0022358432558573036,0.03384778079880722
symbolic,TE_k10,200,,0.0,,,
symbolic,TE_k10,800,,0.0007594936708862577,,,
symbolic,TE_k10,1600,,0.0012578616352202586,,,
