M,T,n_spis,n_failed,cell_wall_s,sum_amortized_s,median_amortized_s,max_amortized_s
4,200,328,3,150.254213,150.253628,0.00241015625,18.765107
4,400,328,3,175.625577,175.62519400000002,0.00237534375,18.899627
4,800,328,3,286.05051,286.050024,0.0075665,25.494713
4,1600,328,3,858.66662,858.666058,0.010438333333333334,200.342171
4,3200,328,3,4034.361641,4034.3609060000003,0.02947302380952381,1568.648087
8,200,328,3,579.375212,579.374793,0.003240142857142857,53.38120744444444
8,400,328,3,691.284194,691.283615,0.005385619047619047,56.707999666666666
8,800,328,3,1239.040446,1239.039915,0.01468046875,119.496422
8,1600,328,3,3741.294728,3741.2941419999997,0.022805904761904763,938.484149
8,3200,328,3,18764.37191,18764.371222,0.06460721428571428,7362.72654
16,200,328,3,2194.923346,2194.9228079999993,0.011080380952380953,215.10856644444442
16,400,328,3,2738.418311,2738.417848,0.01786640476190476,240.05115022222222
16,800,328,3,4921.076783,4921.076363,0.033595154761904764,505.800367
16,1600,328,3,15792.320319,15792.319682999998,0.07392469047619048,4082.481762
32,200,328,3,6596.798325,6596.797765999999,0.04447388095238095,643.5116147777777
32,400,328,3,9110.052897,9110.052457999998,0.06886105952380953,768.1003748888888
32,800,328,3,18079.860344,18079.859750999996,0.1296895595238095,2101.921963
32,1600,328,3,61722.23588,61722.235310000004,0.28341607142857145,16607.164304
64,200,328,3,28431.706236,28431.705638,0.17658613095238096,2852.295129888889
64,400,328,3,35066.405799,35066.405214,0.27605939285714287,3000.3597541111108
