,M4T200,M4T400,M4T800,M4T1600,M4T3200,M8T200,M8T400,M8T800,M8T1600,M8T3200,M16T200,M16T400,M16T800,M16T1600,M32T200,M32T400,M32T800,M32T1600,M64T200,M64T400,M64T800,M64T1600
M4T200,1.0,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9536423841059603,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9471947194719472,0.9536423841059603,0.9471947194719472,0.9407894736842105
M4T400,0.9536423841059603,1.0,0.9865319865319865,0.9798657718120806,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9798657718120806,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9798657718120806,0.9666666666666667,1.0,0.9932432432432432,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9732441471571907
M4T800,0.9471947194719472,0.9865319865319865,1.0,0.9932432432432432,0.9932432432432432,0.9601328903654485,0.9798657718120806,0.9932432432432432,0.9932432432432432,0.9932432432432432,0.9601328903654485,0.9798657718120806,0.9932432432432432,0.9932432432432432,0.9601328903654485,0.9865319865319865,0.9932432432432432,0.9932432432432432,0.9601328903654485,0.9798657718120806,0.9932432432432432,0.9798657718120806
M4T1600,0.9536423841059603,0.9798657718120806,0.9932432432432432,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,0.9536423841059603,0.9798657718120806,0.9865319865319865,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,0.9865319865319865
M4T3200,0.9536423841059603,0.9798657718120806,0.9932432432432432,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,0.9536423841059603,0.9798657718120806,0.9865319865319865,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,0.9865319865319865
M8T200,0.9471947194719472,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9932432432432432,0.9666666666666667,0.9601328903654485,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9471947194719472
M8T400,0.9536423841059603,0.9932432432432432,0.9798657718120806,0.9732441471571907,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9732441471571907,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9732441471571907,0.9666666666666667,0.9932432432432432,0.9865319865319865,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9666666666666667
M8T800,0.9471947194719472,0.9932432432432432,0.9932432432432432,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9601328903654485,0.9932432432432432,1.0,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9798657718120806
M8T1600,0.9536423841059603,0.9798657718120806,0.9932432432432432,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,0.9536423841059603,0.9798657718120806,0.9865319865319865,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,0.9865319865319865
M8T3200,0.9536423841059603,0.9798657718120806,0.9932432432432432,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,0.9536423841059603,0.9798657718120806,0.9865319865319865,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,0.9865319865319865
M16T200,0.9471947194719472,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9932432432432432,0.9666666666666667,0.9601328903654485,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9471947194719472
M16T400,0.9536423841059603,0.9932432432432432,0.9798657718120806,0.9732441471571907,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9732441471571907,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9732441471571907,0.9666666666666667,0.9932432432432432,0.9865319865319865,0.9732441471571907,0.9666666666666667,1.0,0.9865319865319865,0.9666666666666667
M16T800,0.9471947194719472,0.9932432432432432,0.9932432432432432,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9601328903654485,0.9932432432432432,1.0,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9798657718120806
M16T1600,0.9536423841059603,0.9798657718120806,0.9932432432432432,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,1.0,0.9536423841059603,0.9798657718120806,0.9865319865319865,1.0,0.9536423841059603,0.9732441471571907,0.9865319865319865,0.9865319865319865
M32T200,0.9536423841059603,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,0.9932432432432432,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9536423841059603,0.9932432432432432,0.9666666666666667,0.9601328903654485,0.9536423841059603,1.0,0.9666666666666667,0.9601328903654485,0.9536423841059603,0.9932432432432432,0.9666666666666667,0.9601328903654485,0.9471947194719472
M32T400,0.9536423841059603,1.0,0.9865319865319865,0.9798657718120806,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9798657718120806,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9798657718120806,0.9666666666666667,1.0,0.9932432432432432,0.9798657718120806,0.9666666666666667,0.9932432432432432,0.9932432432432432,0.9732441471571907
M32T800,0.9471947194719472,0.9932432432432432,0.9932432432432432,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9865319865319865,0.9601328903654485,0.9932432432432432,1.0,0.9865319865319865,0.9601328903654485,0.9865319865319865,1.0,0.9798657718120806
