identifier,intercept,p_M,q_T,log_resid_std,n_points,amortized_at_largest
coint_johansen_trace_stat_order-1_ardiff-10,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
coint_johansen_trace_stat_order-0_ardiff-1,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
coint_johansen_trace_stat_order-0_ardiff-10,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
coint_johansen_trace_stat_order-1_ardiff-1,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,-10.418973204890237,2.0569536060239217,0.44376723625842923,0.09857945345967838,20,2.033441272727273
lmfit_Ridge,-7.827350359971515,2.0104268353438104,0.016955209926361573,0.017935529664860252,20,1.913868
cce_gaussian,-10.365892667277214,2.0427677604574965,0.42925507680157526,0.09423025419810727,20,1.863036
xme_kozachenko_k1,-13.960215763131105,2.082874768727786,0.9893446509106275,0.04430569414539909,20,1.743895
corr_kendall_tau-10,-9.884588467703685,2.0115599746766883,0.3488711524905792,0.07699963316093243,20,1.700217
corr_kendall_tau-20-sq,-9.90775726617708,2.012721727401963,0.3513576126381841,0.0773178927022992,20,1.698684
corr_kendall_tau-10-sq,-9.894577230137418,2.013327374369375,0.34977252165618117,0.0768778690338047,20,1.696671
corr_kendall_tau-1,-9.808226512044673,1.9978746229809805,0.34479039699401853,0.0764599709352091,20,1.694944
corr_kendall_tau-5-sq,-9.89921735318974,2.0116792258702,0.3511877266624678,0.07652909787203409,20,1.69208
corr_kendall_tau-20,-9.898573290247628,2.0111952264812505,0.3505679547708428,0.07789501216003576,20,1.690407
corr_kendall_tau-1-sq,-9.888725991138623,2.0113915280053742,0.3496817002160111,0.0759555172504917,20,1.685837
corr_kendall_tau-5,-9.852095671008966,2.006404688859696,0.3459423664370234,0.07756885493510957,20,1.684895
corr_kendall_tau-2-sq,-9.86587597944966,2.0102360683754297,0.3468470239073745,0.07491948567473995,20,1.683487
corr_kendall_tau-3-sq,-9.870013165572331,2.008751771599981,0.34833686816568066,0.07588694909059039,20,1.682591
corr_kendall_tau-3,-9.867386941215356,2.00850555698965,0.3477088210063523,0.07683215182437293,20,1.680622
corr_kendall_tau-4-sq,-9.878842487137026,2.008370564257389,0.3496855550447671,0.07756703440396567,20,1.68027
corr_kendall_tau-2,-9.882935927344825,2.0094663602418033,0.3496621408279645,0.07534159682473678,20,1.679553
corr_kendall_tau-4,-9.85256713219627,2.0061169953020888,0.34636793498136575,0.0749997360411475,20,1.678248
dtw,-17.067248508145997,1.7619099639955822,1.6611517803647107,0.6219249353198361,20,1.466881
bary_euclidean_mean,-3.8698909781610347,2.0199156300382946,-0.8746494285887542,0.7040697584272125,20,1.35636075
bary-sq_euclidean_max,-3.8698909781610347,2.0199156300382946,-0.8746494285887542,0.7040697584272125,20,1.35636075
bary_euclidean_max,-3.8698909781610347,2.0199156300382946,-0.8746494285887542,0.7040697584272125,20,1.35636075
bary-sq_euclidean_mean,-3.8698909781610347,2.0199156300382946,-0.8746494285887542,0.7040697584272125,20,1.35636075
di_gaussian,-10.602407745326513,2.023414197748968,0.3269017531739197,0.07632860174129284,20,0.760713
si_gaussian_k-1,-10.53387940241196,2.021357821726566,0.31173077706453567,0.07134277894952375,20,0.738009
xme_gaussian_k10,-11.953368335329928,2.023151180626846,0.5001803837379623,0.08934439375820025,20,0.547333
je_kozachenko,-14.556314208411814,1.9756983714762262,0.9364049087059136,0.06567744571089411,20,0.473593
kendalltau-sq,-10.77805371606859,1.9577056477379922,0.30044942344286885,0.07946884584977491,20,0.433633
kendalltau,-11.072305110429708,2.0123461042952355,0.316170650575256,0.07839013234568455,20,0.42663
gc_gaussian_k-1_kt-1_l-1_lt-1,-11.511307930971864,2.030136749262407,0.3799915702492031,0.08314470260508805,20,0.426512
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,-12.841264376507358,1.6174600205142557,0.8022197094342216,0.2712125551285609,20,0.34812
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,-14.486846628485255,1.6902987980366875,1.0031676316256795,0.22591130692040048,20,0.27605939285714287
